"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 18:11:55 CST 2019","Thu Oct 24 18:11:55 CST 2019","46","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-签约3-完成签约","Test_现金管理_添鑫宝_签约3_完成签约","","","test_2签约失败","签约失败"
"passed","Thu Oct 24 17:58:16 CST 2019","Thu Oct 24 17:58:16 CST 2019","13","建投自动化测试.现金管理测试用例","test_现金管理-更多-智多鑫-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_03解约失败","解约失败"
"passed","Thu Oct 24 18:02:48 CST 2019","Thu Oct 24 18:02:50 CST 2019","1955","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-应急取款","Test_现金管理_添鑫宝_应急取款","","","test_1不输入金额点击应急取款","不输入金额，点击应急取款"
"passed","Thu Oct 24 18:04:24 CST 2019","Thu Oct 24 18:04:24 CST 2019","57","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_12设置保留额度失败",""
"broken","Thu Oct 24 17:52:55 CST 2019","Thu Oct 24 17:53:25 CST 2019","30211","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-更多-预约取款记录","Test_现金管理_智多鑫_更多_预约记录测试用例","","","test_3查看第一条记录的状态是否正确",""
"passed","Thu Oct 24 18:00:37 CST 2019","Thu Oct 24 18:00:37 CST 2019","14","建投自动化测试.现金管理测试用例","test_现金管理-更多-添鑫宝-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_03解约失败","解约失败"
"passed","Thu Oct 24 18:19:34 CST 2019","Thu Oct 24 18:19:38 CST 2019","4150","建投自动化测试.现金管理测试用例","test_现金管理-立即参与","Test_现金管理_立即参与","","","test_1未登录状态下点击现金管理","未登录状态下，点击现金管理"
"passed","Thu Oct 24 17:55:45 CST 2019","Thu Oct 24 17:55:45 CST 2019","781","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_074预约取款默认文本","预约取款默认信息展示是否正确"
"passed","Thu Oct 24 17:50:42 CST 2019","Thu Oct 24 17:50:47 CST 2019","4659","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_4点击查看预约取款记录","点击查看预约取款记录"
"passed","Thu Oct 24 18:17:50 CST 2019","Thu Oct 24 18:17:51 CST 2019","757","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_073起购金额","起购金额默认信息展示是否正确"
"passed","Thu Oct 24 18:17:18 CST 2019","Thu Oct 24 18:17:19 CST 2019","735","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_02查看七日年化收益显示是否正确","查看七日年化收益显示是否正确"
"passed","Thu Oct 24 17:50:28 CST 2019","Thu Oct 24 17:50:29 CST 2019","46","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_22取消保留额度失败","取消保留额度失败"
"passed","Thu Oct 24 18:18:04 CST 2019","Thu Oct 24 18:18:04 CST 2019","766","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_082基金管理人默认文本","基金管理人默认信息展示是否正确"
"passed","Thu Oct 24 18:17:19 CST 2019","Thu Oct 24 18:17:21 CST 2019","1535","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_03点击图表万分收益tab","点击图表万分收益tab"
"passed","Thu Oct 24 17:59:04 CST 2019","Thu Oct 24 17:59:04 CST 2019","53","建投自动化测试.现金管理测试用例","test_现金管理-更多-智多鑫-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_22再次开通失败","再次开通失败"
"passed","Thu Oct 24 18:10:06 CST 2019","Thu Oct 24 18:10:42 CST 2019","35875","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-签约2-协议阅读","Test_现金管理_添鑫宝_签约2_协议阅读","","","test_0签约页面产名称和产品类型校验","现金管理约页面产名称和产品类型"
"passed","Thu Oct 24 18:00:53 CST 2019","Thu Oct 24 18:01:01 CST 2019","8410","建投自动化测试.现金管理测试用例","test_现金管理-更多-添鑫宝-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_11取消暂停确认框","点击更多-暂停，点击取消按钮，关闭弹窗"
"passed","Thu Oct 24 18:17:46 CST 2019","Thu Oct 24 18:17:50 CST 2019","4838","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_072买入展开信息展示是否正确","买入展开信息展示是否正确"
"passed","Thu Oct 24 17:55:44 CST 2019","Thu Oct 24 17:55:45 CST 2019","789","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_073起购金额","起购金额默认信息展示是否正确"
"failed","Thu Oct 24 17:57:27 CST 2019","Thu Oct 24 17:58:05 CST 2019","37827","建投自动化测试.现金管理测试用例","test_现金管理-更多-智多鑫-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_00点击更多_解约_解约确认框内容校验","点击更多-解约-解约确认框内容校验"
"passed","Thu Oct 24 18:04:44 CST 2019","Thu Oct 24 18:04:44 CST 2019","49","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_22取消保留额度失败","取消保留额度失败"
"passed","Thu Oct 24 17:55:57 CST 2019","Thu Oct 24 17:55:58 CST 2019","786","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_083基金托管人默认文本","基金托管人默认信息展示是否正确"
"passed","Thu Oct 24 18:17:38 CST 2019","Thu Oct 24 18:17:46 CST 2019","7608","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_071买入默认信息展示是否正确","买入默认信息展示是否正确"
"passed","Thu Oct 24 18:01:01 CST 2019","Thu Oct 24 18:01:02 CST 2019","51","建投自动化测试.现金管理测试用例","test_现金管理-更多-添鑫宝-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_12暂停失败","暂停失败"
