"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","现金管理-更多-设置页面测试用例","点击更多-设置，页面跳转","0","0","2","0","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","点击更多-分红查询","0","0","2","0","0"
"","现金管理-更多-设置页面测试用例","设置保留额度为1","0","0","2","0","0"
"","现金管理-添鑫宝-详情页","基金托管人默认信息展示是否正确","0","0","1","0","0"
"","现金管理-智多鑫-详情页","点击图表七日年化收益率tab","0","0","1","0","0"
"","现金管理添鑫宝签约不适当性投资者签约用例","现金管理添鑫宝签约不适当性投资者签约","1","0","0","0","0"
"","现金管理-添鑫宝-签约-完成签约测试用例","勾选协议申请开通签约","0","0","1","0","0"
"","现金管理-智多鑫-应急取款用例","应急取款后页面跳转取款成功","0","0","1","0","0"
"","现金管理-更多-预约记录测试用例","查看第一条记录的时间是否正确","0","1","1","0","0"
"","现金管理-更多-预约记录测试用例","点击更多，选中预约记录，查看页面跳转是否正确","0","0","2","0","0"
"","现金管理-智多鑫-预约取款用例","进入预约管理页面","0","0","1","0","0"
"","现金管理-智多鑫-应急取款用例","中信建投证券智多鑫应急取款协议","0","0","1","0","0"
"","现金管理-添鑫宝-预约取款用例","预约取款规则校验","0","0","1","0","0"
"","现金管理添鑫宝签约页面阅读协议测试","查看风险揭示书","0","0","2","0","0"
"","现金管理-更多-预约记录测试用例","点击取消操作后，确认框点击确定按钮","0","1","1","0","0"
"","现金管理添鑫宝签约页面阅读协议测试","查看产品合同","0","0","1","0","0"
"","现金管理-智多鑫-详情页","分红默认信息展示是否正确","0","0","1","0","0"
"","现金管理-智多鑫-详情页","查看万分收益（元）显示是否正确","0","1","0","0","0"
"","现金管理-智多鑫-应急取款用例","应急取款确认框内容确认","0","0","1","0","0"
"","现金管理-智多鑫-详情页","交易费用默认信息展示是否正确","0","0","1","0","0"
"","现金管理-更多-预约记录测试用例","记录状态为正常，取消按钮是否存在","0","1","1","0","0"
"","现金管理添鑫宝签约适当性用例","适当投资者-签约适当性","0","0","1","0","0"
"","现金管理-智多鑫-预约取款用例","预约取款成功","0","0","1","0","0"
"","现金管理-智多鑫-详情页","风险等级默认信息展示是否正确","0","0","1","0","0"
"","现金管理-添鑫宝-详情页","预约取款默认信息展示是否正确","0","0","1","0","0"
"","现金管理-智多鑫-应急取款用例","进入应急取款页面","0","0","1","0","0"
"","现金管理-更多-预约记录测试用例","查看第一条记录的预约金额是否正确","0","1","1","0","0"
"","现金管理-添鑫宝-签约无资产账户详情页资产显示","签约无资产账户详情页资产显示","0","1","0","0","0"
"","现金管理-添鑫宝-详情页","预约取款展开信息展示是否正确","0","0","1","0","0"
"","现金管理-智多鑫-应急取款用例","第一次需要勾选协议","0","0","1","0","0"
"","现金管理-更多-预约记录测试用例","点击取消操作后，确认框点击取消按钮","0","1","1","0","0"
"","现金管理-更多-设置页面测试用例","设置页面点击暂停，查看设置页面按钮显示是否正确","0","0","2","0","0"
"","现金管理-添鑫宝-详情页","交易费用默认信息展示是否正确","0","0","1","0","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","取消解约确认框","0","0","2","0","0"
"","现金管理-智多鑫-详情页","点击图表万分收益tab","0","0","1","0","0"
"","现金管理-添鑫宝-签约-完成签约测试用例","签约成功","0","0","1","0","0"
"","现金管理-添鑫宝-详情页","点击图表七日年化收益率tab","0","0","1","0","0"
"","现金管理-添鑫宝-详情页","查看万分收益（元）显示是否正确","0","0","1","0","0"
"","现金管理-添鑫宝-详情页","风险等级默认信息展示是否正确","0","0","1","0","0"
